,No Screening,,,,,,,PROCAS Full,,,,,,,,,,,,,
,V1,V2,V3,V4,V5,,,V1,V2,V3,V4,V5,,Inc costs,In QALYs,ICER,NB,Av costs,Av QALYs,Av ICER,Av NB
1,17.9153392,1195.848221,0,0.11703,0,,1,17.93764429,1426.775245,4.52893,0.11744,0.02802,,230.9270247,0.022305082,10353.11247,215.1746194,230.9270247,0.022305082,10353.11247,215.1746194
2,17.93577374,1168.156001,0,0.11683,0,,2,17.95406214,1409.361548,4.53765,0.11718,0.02892,,241.2055466,0.0182884,13188.99127,124.5624513,236.0662856,0.020296741,11771.05187,169.8685354
3,17.93168439,1203.648173,0,0.11915,0,,3,17.9602046,1425.926135,4.54604,0.1195,0.0293,,222.2779621,0.028520212,7793.699382,348.1262868,231.4701778,0.023037898,10445.26771,229.2877858
4,17.9225692,1169.320567,0,0.11764,0,,4,17.94765706,1420.393505,4.53564,0.11792,0.02858,,251.0729381,0.025087864,10007.74486,250.6843341,236.3708678,0.02355039,10335.887,234.6369229
5,17.9397592,1181.67832,0,0.11602,0,,5,17.96211471,1399.692658,4.53906,0.11604,0.02857,,218.0143376,0.022355513,9752.151089,229.0959165,232.6995618,0.023311414,10219.13981,233.5287216
6,17.92966266,1207.855282,0,0.1189,0,,6,17.9524079,1427.195259,4.5253,0.1189,0.02875,,219.3399763,0.02274524,9643.335184,235.5648302,230.4729642,0.023217052,10123.17238,233.8680731
7,17.93095591,1200.178829,0,0.11805,0,,7,17.96272934,1416.530868,4.53154,0.1182,0.02872,,216.3520381,0.031773431,6809.21231,419.1165836,228.4556891,0.024439392,9649.749509,260.332146
8,17.93337969,1183.966582,0,0.11718,0,,8,17.9621519,1411.957394,4.53166,0.11729,0.02734,,227.9908119,0.028772206,7923.99494,347.4533009,228.3975794,0.024980993,9434.030188,271.2222904
9,17.94314465,1183.889517,0,0.1175,0,,9,17.96219658,1409.996756,4.52432,0.11776,0.02889,,226.1072385,0.019051929,11867.94448,154.9313462,228.1430971,0.024322209,9704.46511,258.3010744
10,17.93378365,1202.836773,0,0.11894,0,,10,17.94804918,1446.428432,4.51866,0.11916,0.02869,,243.5916591,0.014265527,17075.5455,41.71888532,229.6879533,0.02331654,10441.57315,236.6428554
11,17.9327248,1199.033899,0,0.11717,0,,11,17.96001088,1423.09979,4.53958,0.11744,0.02879,,224.0658913,0.027286087,8211.726686,321.6558548,229.1768567,0.023677408,10238.85983,244.3713099
12,17.93551005,1191.507256,0,0.11746,0,,12,17.96192099,1407.869533,4.54082,0.11769,0.02809,,216.3622772,0.02641094,8192.146124,311.8565166,228.1089751,0.023905203,10068.30036,249.9950772
13,17.91883336,1216.8922,0,0.11795,0,,13,17.94240196,1416.311615,4.53819,0.11832,0.02914,,199.4194157,0.023568599,8461.233466,271.9525574,225.9020859,0.02387931,9944.679828,251.6841141
14,17.92695816,1181.287465,0,0.11739,0,,14,17.94393216,1408.294949,4.53665,0.11757,0.02867,,227.0074847,0.016973998,13373.83704,112.4724777,225.981043,0.023386073,10189.61963,241.7404258
15,17.93204278,1186.760797,0,0.11826,0,,15,17.95264587,1407.202526,4.53763,0.1186,0.02843,,220.4417286,0.020603088,10699.45068,191.6200403,225.6117554,0.023200541,10223.60836,238.3990668
16,17.93837318,1188.412126,0,0.11672,0,,16,17.96484016,1413.132887,4.5285,0.11722,0.02979,,224.7207607,0.026466979,8490.608722,304.6188145,225.5560682,0.023404693,10115.29589,242.537801
17,17.9309429,1186.098023,0,0.11859,0,,17,17.95195625,1432.463864,4.52119,0.11887,0.02819,,246.3658414,0.021013346,11724.25565,173.90108,226.7801725,0.023264026,10209.94058,238.5003468
18,17.94546097,1181.813006,0,0.11712,0,,18,17.97275871,1406.572265,4.52808,0.11743,0.02829,,224.7592596,0.027297746,8233.619667,321.1956635,226.6678996,0.023488122,10100.14497,243.0945311
19,17.92570155,1210.160544,0,0.11931,0,,19,17.95214935,1428.483912,4.52973,0.11957,0.02898,,218.3233677,0.026447808,8254.875801,310.6327861,226.2287137,0.023643894,10003.02554,246.6491761
20,17.9178214,1230.981201,0,0.12057,0,,20,17.94604974,1453.958589,4.53435,0.12075,0.02928,,222.9773881,0.028228338,7899.061751,341.5893797,226.0661474,0.023873117,9897.827353,251.3961863
21,17.94436146,1160.106671,0,0.11591,0,,21,17.96069153,1395.135498,4.54196,0.11605,0.02793,,235.0288263,0.016330064,14392.40073,91.57245535,226.4929416,0.023513924,10111.85466,243.7855324
22,17.93110885,1194.129461,0,0.1178,0,,22,17.95650755,1418.747159,4.52894,0.11819,0.02894,,224.617698,0.025398697,8843.670109,283.3562432,226.4077033,0.023599595,10054.2099,245.5842011
23,17.94176462,1199.133067,0,0.11851,0,,23,17.96510507,1429.939521,4.53796,0.11853,0.02936,,230.8064534,0.023340451,9888.688579,236.002571,226.5989533,0.023588328,10047.01333,245.1676085
24,17.94652187,1198.335261,0,0.11812,0,,24,17.96317073,1427.678046,4.52826,0.1184,0.02826,,229.3427848,0.016648861,13775.28391,103.6344319,226.7132796,0.023299184,10202.35793,239.2703928
25,17.93663376,1199.405517,0,0.11841,0,,25,17.95822034,1425.517702,4.54356,0.11883,0.02815,,226.1121845,0.021586583,10474.6631,205.6194757,226.6892358,0.02323068,10213.25014,237.9243561
26,17.93755765,1194.628731,0,0.11719,0,,26,17.96093293,1406.429866,4.53165,0.11757,0.02959,,211.8011349,0.023375287,9060.899762,255.7046106,226.1166165,0.023236241,10168.92897,238.608212
27,17.92084852,1201.351336,0,0.11884,0,,27,17.94601215,1421.91896,4.52225,0.11896,0.02848,,220.5676243,0.02516363,8765.334133,282.7049742,225.9110983,0.023307626,10116.94398,240.2414255
28,17.92938124,1214.865946,0,0.11936,0,,28,17.95193055,1421.529155,4.52239,0.11964,0.02896,,206.6632086,0.022549305,9164.947959,244.3228952,225.2236737,0.023280543,10082.94412,240.3871922
29,17.95113269,1194.839846,0,0.11858,0,,29,17.96881359,1410.961346,4.54302,0.11876,0.02861,,216.1215002,0.017680899,12223.44539,137.4964745,224.9098056,0.023087452,10156.75451,236.8392364
30,17.92237935,1195.427091,0,0.1179,0,,30,17.94254181,1422.565198,4.54486,0.11798,0.02925,,227.1381067,0.020162456,11265.39885,176.1110099,224.9840823,0.022989952,10193.70932,234.8149622
